metro_id,fullaqsid,date,aq_daily_mean,temp_daily_mean,rhum_daily_mean,precip_daily_mean,ws_daily_mean,wd_daily_mean_deg,barpr_daily_mean,population,bg3,sat_monthly_mean,metro_pop_density_year,dist_km_motorway_trunk_primary_secondary,partition_key
945,DEU_DEBE010,2024-09-12,5.03,12.04,67.92,0.01,2.19,269.78,1011.75,7297.89,3.67,7.638,4100.0,0.044,PM2.5-1HR
945,DEU_DEBE032,2024-09-12,3.03,12.18,69.38,0.01,2.18,261.41,1011.75,0,2.88,6.532,4100.0,0.861,PM2.5-1HR
945,DEU_DEBE034,2024-09-12,4.76,12.15,68.04,0.01,2.24,266.5,1011.77,8605.71,3.98,8.072,4100.0,0.331,PM2.5-1HR
945,DEU_DEBE051,2024-09-12,3.71,11.7,67.67,0,2.07,256.6,1011.7,463.79,2.77,6.378,4100.0,0.134,PM2.5-1HR
945,DEU_DEBE056,2024-09-12,3.77,12.7,67.17,0.01,1.76,270.67,1011.8,341.92,2.57,6.098,4100.0,0.106,PM2.5-1HR
945,DEU_DEBE061,2024-09-12,4.56,12.15,68.04,0.01,2.24,266.5,1011.77,8387.49,3.81,7.834,4100.0,0.009,PM2.5-1HR
945,DEU_DEBE065,2024-09-12,6.13,12.04,67.92,0.01,2.19,269.78,1011.75,8360.65,3.86,7.904,4100.0,0.004,PM2.5-1HR
945,DEU_DEBE068,2024-09-12,4.98,12.04,67.92,0.01,2.19,269.78,1011.75,6890.16,3.98,8.072,4100.0,0.072,PM2.5-1HR
945,DEU_DEBE069,2024-09-12,7.87,12.15,68.04,0.01,2.24,266.5,1011.77,8162.76,4.06,8.184,4100.0,0.012,PM2.5-1HR
945,DEU_DEBE125,2024-09-12,5.68,12.15,68.04,0.01,2.24,266.5,1011.77,6333.76,3.98,8.072,4100.0,0.01,PM2.5-1HR
945,DEU_DEBE126,2024-09-12,6.46,12.15,68.04,0.01,2.24,266.5,1011.77,8396.04,3.98,8.072,4100.0,0.007,PM2.5-1HR
945,DEU_DEBE127,2024-09-12,6.67,12.15,68.04,0.01,2.24,266.5,1011.77,7613.33,4.05,8.17,4100.0,0.056,PM2.5-1HR
945,DEU_DEBE010,2024-09-13,4.78,11.47,77.71,0.28,4.04,341.12,1017.44,7297.89,3.74,7.736,4100.0,0.044,PM2.5-1HR
945,DEU_DEBE032,2024-09-13,3.55,11.58,78.79,0.21,3.7,336.61,1017.58,0,2.68,6.252,4100.0,0.861,PM2.5-1HR
945,DEU_DEBE034,2024-09-13,5.01,11.52,77.54,0.3,4.05,339.96,1017.45,8605.71,3.96,8.044,4100.0,0.331,PM2.5-1HR
945,DEU_DEBE051,2024-09-13,3.72,11.17,79.67,0.2,3.75,341.58,1017.46,463.79,2.44,5.916,4100.0,0.134,PM2.5-1HR
945,DEU_DEBE056,2024-09-13,3.89,11.45,81.92,0.33,3.73,338.05,1017.12,341.92,2.45,5.93,4100.0,0.106,PM2.5-1HR
945,DEU_DEBE061,2024-09-13,5.01,11.52,77.54,0.3,4.05,339.96,1017.45,8387.49,3.77,7.778,4100.0,0.009,PM2.5-1HR
945,DEU_DEBE065,2024-09-13,5.55,11.47,77.71,0.28,4.04,341.12,1017.44,8360.65,3.91,7.974,4100.0,0.004,PM2.5-1HR
945,DEU_DEBE068,2024-09-13,4.82,11.47,77.71,0.28,4.04,341.12,1017.44,6890.16,3.96,8.044,4100.0,0.072,PM2.5-1HR
945,DEU_DEBE069,2024-09-13,7.44,11.52,77.54,0.3,4.05,339.96,1017.45,8162.76,4.1,8.24,4100.0,0.012,PM2.5-1HR
945,DEU_DEBE125,2024-09-13,5.75,11.52,77.54,0.3,4.05,339.96,1017.45,6333.76,3.96,8.044,4100.0,0.01,PM2.5-1HR
945,DEU_DEBE126,2024-09-13,7.25,11.52,77.54,0.3,4.05,339.96,1017.45,8396.04,3.96,8.044,4100.0,0.007,PM2.5-1HR
945,DEU_DEBE127,2024-09-13,6.25,11.52,77.54,0.3,4.05,339.96,1017.45,7613.33,4.09,8.226,4100.0,0.056,PM2.5-1HR
945,DEU_DEBE010,2024-09-14,4.02,13.68,64.5,0.05,7.07,340.04,1022.01,7297.89,3.71,7.694,4100.0,0.044,PM2.5-1HR
