metro_id,fullaqsid,date,aq_daily_mean,temp_daily_mean,rhum_daily_mean,precip_daily_mean,ws_daily_mean,wd_daily_mean_deg,barpr_daily_mean,population,bg3,sat_monthly_mean,metro_pop_density_year,dist_km_motorway_trunk_primary_secondary,partition_key
955,SGNEA-CENTRAL,2025-12-02,15.57,24.79,91.79,0.53,1.39,284.39,1010.93,146.21,3.67,7.638,8300.0,1.245,PM2.5-1HR
955,SGNEA-EAST,2025-12-02,13.92,25.32,88.78,0.64,1.89,287.45,1010.86,35879.72,2,5.3,8300.0,0.593,PM2.5-1HR
955,SGNEA-NORTH,2025-12-02,8.87,24.73,91.97,0.5,1.27,210.63,1010.93,411.09,3.5,7.4,8300.0,2.199,PM2.5-1HR
955,SGNEA-SOUTH,2025-12-02,11.85,25.15,88.86,0.59,1.84,278.66,1010.92,8558.79,3.5,7.4,8300.0,1.519,PM2.5-1HR
955,SGNEA-WEST,2025-12-02,10.57,24.93,90.99,0.5,1.46,215.71,1010.93,11650.53,3,6.7,8300.0,2.227,PM2.5-1HR
955,SGNEA-CENTRAL,2025-12-03,26.19,26.02,85.27,0.16,1.82,18.69,1010.46,146.21,10.33,16.962,8300.0,1.245,PM2.5-1HR
955,SGNEA-EAST,2025-12-03,23.15,26.62,83.02,0.13,1.72,355.54,1010.45,35879.72,11,17.9,8300.0,0.593,PM2.5-1HR
955,SGNEA-NORTH,2025-12-03,15.87,26.18,84.72,0.2,1.55,25.81,1010.48,411.09,11.5,18.6,8300.0,2.199,PM2.5-1HR
955,SGNEA-SOUTH,2025-12-03,17.92,26.08,84.62,0.12,1.96,11.65,1010.44,8558.79,13.5,21.4,8300.0,1.519,PM2.5-1HR
955,SGNEA-WEST,2025-12-03,16.92,26.11,85.45,0.16,1.82,25.33,1010.44,11650.53,9,15.1,8300.0,2.227,PM2.5-1HR
955,SGNEA-CENTRAL,2025-12-04,12.16,26.61,85.07,1.14,2.59,352.07,1011.19,146.21,5.33,9.962,8300.0,1.245,PM2.5-1HR
955,SGNEA-EAST,2025-12-04,12.86,26.62,85.69,0.97,2.63,0.7,1011.17,35879.72,6,10.9,8300.0,0.593,PM2.5-1HR
955,SGNEA-NORTH,2025-12-04,9.67,26.56,85.78,1.13,2.29,351,1011.2,411.09,4.5,8.8,8300.0,2.199,PM2.5-1HR
955,SGNEA-SOUTH,2025-12-04,11.57,26.66,84.36,1.15,2.92,353.94,1011.19,8558.79,5.5,10.2,8300.0,1.519,PM2.5-1HR
955,SGNEA-WEST,2025-12-04,11.37,26.64,84.42,1.1,2.75,351.23,1011.21,11650.53,3,6.7,8300.0,2.227,PM2.5-1HR
955,SGNEA-CENTRAL,2025-12-05,15.37,27.18,79.73,0.02,2.52,8.91,1011.41,146.21,4.33,8.562,8300.0,1.245,PM2.5-1HR
955,SGNEA-EAST,2025-12-05,15.39,27.3,79.4,0.02,2.73,7.02,1011.39,35879.72,6,10.9,8300.0,0.593,PM2.5-1HR
955,SGNEA-NORTH,2025-12-05,9.92,27.13,80.26,0.02,2.27,7.03,1011.43,411.09,4,8.1,8300.0,2.199,PM2.5-1HR
955,SGNEA-SOUTH,2025-12-05,12.27,27.22,79.23,0.02,2.77,10.63,1011.39,8558.79,5,9.5,8300.0,1.519,PM2.5-1HR
955,SGNEA-WEST,2025-12-05,8.81,27.09,79.97,0.03,2.37,11.88,1011.42,11650.53,4,8.1,8300.0,2.227,PM2.5-1HR
955,SGNEA-CENTRAL,2025-12-06,8.6,26.73,83.97,0.17,5.05,11.25,1011.26,146.21,3.33,7.162,8300.0,1.245,PM2.5-1HR
955,SGNEA-EAST,2025-12-06,10.28,26.75,84.65,0.17,5.27,10.99,1011.25,35879.72,5,9.5,8300.0,0.593,PM2.5-1HR
955,SGNEA-NORTH,2025-12-06,7.36,26.69,84.04,0.17,4.54,11.26,1011.29,411.09,3.5,7.4,8300.0,2.199,PM2.5-1HR
955,SGNEA-SOUTH,2025-12-06,9.92,26.77,83.93,0.17,5.58,11.23,1011.23,8558.79,3.5,7.4,8300.0,1.519,PM2.5-1HR
955,SGNEA-WEST,2025-12-06,7.78,26.72,83.41,0.17,4.9,11.7,1011.27,11650.53,3,6.7,8300.0,2.227,PM2.5-1HR
955,SGNEA-CENTRAL,2025-12-07,10.91,27.25,79.3,0.07,5.11,358.23,1010.65,146.21,5.33,9.962,8300.0,1.245,PM2.5-1HR
955,SGNEA-EAST,2025-12-07,12.99,27.24,79.74,0.11,5.55,1.15,1010.62,35879.72,5,9.5,8300.0,0.593,PM2.5-1HR
955,SGNEA-NORTH,2025-12-07,9.7,27.18,79.54,0.08,4.64,358.5,1010.66,411.09,6,10.9,8300.0,2.199,PM2.5-1HR
955,SGNEA-SOUTH,2025-12-07,11.94,27.31,79.06,0.07,5.58,357.97,1010.63,8558.79,6,10.9,8300.0,1.519,PM2.5-1HR
955,SGNEA-WEST,2025-12-07,10.13,27.26,78.84,0.05,4.78,355.58,1010.68,11650.53,4,8.1,8300.0,2.227,PM2.5-1HR
955,SGNEA-CENTRAL,2025-12-09,15.27,27.06,75.47,0.03,3.11,9.91,1010.09,146.21,6.67,11.838,8300.0,1.245,PM2.5-1HR
