metro_id,fullaqsid,date,aq_daily_mean,temp_daily_mean,rhum_daily_mean,precip_daily_mean,ws_daily_mean,wd_daily_mean_deg,barpr_daily_mean,population,bg3,sat_monthly_mean,metro_pop_density_year,dist_km_motorway_trunk_primary_secondary,partition_key
38,110010041,2024-09-12,7.59,20.7,73.38,0,2.19,103.57,1022.55,2296.59,2.55,6.07,420.0,0.103,PM2.5-1HR
38,110010043,2024-09-12,7.22,20.59,73.32,0,2.16,104.06,1022.54,3992.29,2.78,6.392,420.0,0.356,PM2.5-1HR
38,110010051,2024-09-12,6.17,20.7,73.39,0,2.19,103.57,1022.55,3666.66,1.68,4.852,420.0,0.011,PM2.5-1HR
38,110010053,2024-09-12,6.66,20.67,73.13,0,2.16,103.73,1022.51,4615.78,2.55,6.07,420.0,0.081,PM2.5-1HR
38,110010055,2024-09-12,5.83,20.76,72.9,0,2.16,103.66,1022.49,1360.05,3.15,6.91,420.0,0.611,PM2.5-1HR
38,240313001,2024-09-12,6.73,20.44,72.85,0,2.16,111.86,1022.6,164.8,4,8.1,420.0,0.508,PM2.5-1HR
38,240330030,2024-09-12,5.41,20.63,73.76,0,2.23,105.89,1022.66,177.44,2,5.3,420.0,0.38,PM2.5-1HR
38,510590030,2024-09-12,6.25,20.8,72.3,0,2.12,110.37,1022.44,1258.55,3.7,7.68,420.0,0.244,PM2.5-1HR
38,510590031,2024-09-12,6.93,20.78,71.95,0,2.1,111.33,1022.42,1483.19,4.85,9.29,420.0,0.017,PM2.5-1HR
38,511071005,2024-09-12,7.75,20.27,71.9,0,1.92,119.72,1022.4,2224.9,4.9,9.36,420.0,0.103,PM2.5-1HR
38,110010041,2024-09-13,7.62,21.14,80.92,0.01,2.36,65.95,1022.99,2296.59,1.88,5.132,420.0,0.103,PM2.5-1HR
38,110010043,2024-09-13,7.32,21,80.82,0.02,2.33,65.35,1023.02,3992.29,2.25,5.65,420.0,0.356,PM2.5-1HR
38,110010051,2024-09-13,5.74,21.15,80.93,0.01,2.36,65.99,1022.98,3666.66,1.88,5.132,420.0,0.011,PM2.5-1HR
38,110010053,2024-09-13,6.78,21.1,80.75,0.02,2.37,65.64,1022.97,4615.78,1.88,5.132,420.0,0.081,PM2.5-1HR
38,110010055,2024-09-13,5.33,21.23,80.67,0.01,2.41,65.98,1022.91,1360.05,2.6,6.14,420.0,0.611,PM2.5-1HR
