metro_id,fullaqsid,date,aq_daily_mean,temp_daily_mean,rhum_daily_mean,precip_daily_mean,ws_daily_mean,wd_daily_mean_deg,barpr_daily_mean,population,bg3,sat_monthly_mean,metro_pop_density_year,dist_km_motorway_trunk_primary_secondary,partition_key
952,TW_MOENV_11,2026-05-06,12.48,22.6,86.54,0.28,1.84,43.11,1013.15,16857.93,8.71,14.694,9800.0,2.126,PM2.5-1HR
952,TW_MOENV_12,2026-05-06,19.49,22.6,86.54,0.28,1.84,43.11,1013.15,26615.23,10.17,16.738,9800.0,2.031,PM2.5-1HR
952,TW_MOENV_13,2026-05-06,12.97,22.6,86.54,0.28,1.84,43.11,1013.15,21845.44,10.17,16.738,9800.0,1.15,PM2.5-1HR
952,TW_MOENV_64,2026-05-06,1.49,17.46,89.54,0.5,2.36,56.24,1013.65,129.41,5,9.5,9800.0,0.653,PM2.5-1HR
952,TW_MOENV_14,2026-05-06,5.5,22.6,86.54,0.28,1.84,43.11,1013.15,24011.43,10.17,16.738,9800.0,1.756,PM2.5-1HR
952,TW_MOENV_15,2026-05-06,8.47,22.98,86.58,0.28,1.84,43.11,1013.15,26057.52,10.17,16.738,9800.0,0.956,PM2.5-1HR
952,TW_MOENV_16,2026-05-06,15.97,22.6,86.54,0.28,1.84,43.11,1013.15,28916.28,10.17,16.738,9800.0,1.613,PM2.5-1HR
952,TW_MOENV_11,2026-06-04,7.97,28.49,81.83,0.63,1.32,304.93,1004.02,16857.93,4.71,9.094,9800.0,2.126,PM2.5-1HR
952,TW_MOENV_12,2026-06-04,12.46,28.49,81.83,0.63,1.32,304.93,1004.02,26615.23,5.5,10.2,9800.0,2.031,PM2.5-1HR
952,TW_MOENV_13,2026-06-04,9.47,28.49,81.83,0.63,1.32,304.93,1004.02,21845.44,5.5,10.2,9800.0,1.15,PM2.5-1HR
952,TW_MOENV_64,2026-06-04,5.94,22.52,89.92,1.03,2.06,225.36,1004.68,129.41,2.5,6.0,9800.0,0.653,PM2.5-1HR
