metro_id,name,iso_id
1,New York City,USA
32,Chicago,USA
33,Minneapolis/St.Paul,USA
38,Washington DC,USA
121,Boston,USA
194,San Francisco,USA
334,Hartford,USA
943,London,GBR
944,Paris,FRA
945,Berlin,DEU
946,Madrid,ESP
948,Brussels,BEL
949,Stockholm,SWE
950,Milan,ITA
951,Barcelona,ESP
952,Taipei,TWN
955,Singapore,SGP
956,Oslo,NOR
957,Gothenburg,SWE
958,Bergen,NOR
