metro_id,fullaqsid,policy_id,start_date,end_date
943,ERG-CT6,27,2003-02-17,2007-02-18
943,ERG-CT6,28,2021-10-25,2023-08-28
943,ERG-CT6,41,2007-02-19,2011-01-03
943,ERG-CT6,42,2011-01-04,NA
943,ERG-CT6,43,2019-04-08,2021-10-24
943,ERG-CT6,44,2023-08-29,NA
943,ERG-CT8,27,2003-02-17,2007-02-18
943,ERG-CT8,28,2021-10-25,2023-08-28
943,ERG-CT8,41,2007-02-19,2011-01-03
943,ERG-CT8,42,2011-01-04,NA
943,ERG-CT8,43,2019-04-08,2021-10-24
943,ERG-CT8,44,2023-08-29,NA
943,ERG-CT9,27,2003-02-17,2007-02-18
943,ERG-CT9,28,2021-10-25,2023-08-28
943,ERG-CT9,41,2007-02-19,2011-01-03
943,ERG-CT9,42,2011-01-04,NA
943,ERG-CT9,43,2019-04-08,2021-10-24
943,ERG-CT9,44,2023-08-29,NA
943,ERG-CTA,27,2003-02-17,2007-02-18
943,ERG-CTA,28,2021-10-25,2023-08-28
943,ERG-CTA,41,2007-02-19,2011-01-03
943,ERG-CTA,42,2011-01-04,NA
943,ERG-CTA,43,2019-04-08,2021-10-24
943,ERG-CTA,44,2023-08-29,NA
943,ERG-CW3,28,2021-10-25,2023-08-28
943,ERG-CW3,44,2023-08-29,NA
943,ERG-CY1,44,2023-08-29,NA
943,ERG-EA0,28,2021-10-25,2023-08-28
943,ERG-EA0,44,2023-08-29,NA
943,ERG-EA1,44,2023-08-29,NA
943,ERG-EA2,28,2021-10-25,2023-08-28
943,ERG-EA2,44,2023-08-29,NA
943,ERG-EA6,28,2021-10-25,2023-08-28
943,ERG-EA6,44,2023-08-29,NA
943,ERG-EA7,44,2023-08-29,NA
943,ERG-EA8,28,2021-10-25,2023-08-28
943,ERG-EA8,44,2023-08-29,NA
943,ERG-EA9,28,2021-10-25,2023-08-28
943,ERG-EA9,44,2023-08-29,NA
943,ERG-EG1,28,2021-10-25,2023-08-28
943,ERG-EG1,44,2023-08-29,NA
943,ERG-EI0,44,2023-08-29,NA
943,ERG-EI1,28,2021-10-25,2023-08-28
943,ERG-EI1,44,2023-08-29,NA
943,ERG-EI2,44,2023-08-29,NA
943,ERG-EI3,28,2021-10-25,2023-08-28
943,ERG-EI3,44,2023-08-29,NA
943,ERG-EI7,44,2023-08-29,NA
943,ERG-EI8,28,2021-10-25,2023-08-28
943,ERG-EI8,44,2023-08-29,NA
943,ERG-EN1,44,2023-08-29,NA
943,ERG-EN2,44,2023-08-29,NA
943,ERG-EN3,44,2023-08-29,NA
943,ERG-EN4,44,2023-08-29,NA
943,ERG-EN5,28,2021-10-25,2023-08-28
943,ERG-EN5,44,2023-08-29,NA
943,ERG-EN7,44,2023-08-29,NA
943,ERG-GB0,44,2023-08-29,NA
943,ERG-GB6,44,2023-08-29,NA
943,ERG-GN0,44,2023-08-29,NA
943,ERG-GN2,28,2021-10-25,2023-08-28
943,ERG-GN2,44,2023-08-29,NA
943,ERG-GN3,44,2023-08-29,NA
943,ERG-GN4,44,2023-08-29,NA
943,ERG-GN5,28,2021-10-25,2023-08-28
943,ERG-GN5,44,2023-08-29,NA
943,ERG-GN6,28,2021-10-25,2023-08-28
943,ERG-GN6,44,2023-08-29,NA
943,ERG-GR4,44,2023-08-29,NA
943,ERG-GR5,28,2021-10-25,2023-08-28
943,ERG-GR5,44,2023-08-29,NA
943,ERG-GR7,28,2021-10-25,2023-08-28
943,ERG-GR7,44,2023-08-29,NA
943,ERG-GR8,28,2021-10-25,2023-08-28
943,ERG-GR8,44,2023-08-29,NA
943,ERG-GR9,28,2021-10-25,2023-08-28
943,ERG-GR9,44,2023-08-29,NA
943,ERG-GT1,28,2021-10-25,2023-08-28
943,ERG-GT1,41,2007-02-19,2011-01-03
943,ERG-GT1,44,2023-08-29,NA
943,ERG-GV1,28,2021-10-25,2023-08-28
943,ERG-GV1,41,2007-02-19,2011-01-03
943,ERG-GV1,44,2023-08-29,NA
943,ERG-GV2,27,2003-02-17,2007-02-18
943,ERG-GV2,28,2021-10-25,2023-08-28
943,ERG-GV2,41,2007-02-19,2011-01-03
943,ERG-GV2,42,2011-01-04,NA
943,ERG-GV2,43,2019-04-08,2021-10-24
943,ERG-GV2,44,2023-08-29,NA
943,ERG-HF1,28,2021-10-25,2023-08-28
943,ERG-HF1,44,2023-08-29,NA
943,ERG-HF2,28,2021-10-25,2023-08-28
943,ERG-HF2,44,2023-08-29,NA
943,ERG-HF3,28,2021-10-25,2023-08-28
943,ERG-HF3,44,2023-08-29,NA
943,ERG-HF4,28,2021-10-25,2023-08-28
943,ERG-HF4,44,2023-08-29,NA
943,ERG-HG1,28,2021-10-25,2023-08-28
943,ERG-HG1,44,2023-08-29,NA
943,ERG-HG2,28,2021-10-25,2023-08-28
943,ERG-HG2,44,2023-08-29,NA
943,ERG-HG3,28,2021-10-25,2023-08-28
943,ERG-HG3,44,2023-08-29,NA
943,ERG-HG4,28,2021-10-25,2023-08-28
943,ERG-HG4,44,2023-08-29,NA
943,ERG-HI0,44,2023-08-29,NA
943,ERG-HI1,44,2023-08-29,NA
943,ERG-HI2,44,2023-08-29,NA
943,ERG-HI3,44,2023-08-29,NA
943,ERG-HK4,28,2021-10-25,2023-08-28
943,ERG-HK4,44,2023-08-29,NA
943,ERG-HK6,28,2021-10-25,2023-08-28
943,ERG-HK6,44,2023-08-29,NA
943,ERG-HK9,28,2021-10-25,2023-08-28
943,ERG-HK9,44,2023-08-29,NA
943,ERG-HN0,28,2021-10-25,2023-08-28
943,ERG-HN0,44,2023-08-29,NA
943,ERG-HN1,28,2021-10-25,2023-08-28
943,ERG-HN1,44,2023-08-29,NA
943,ERG-HP1,28,2021-10-25,2023-08-28
943,ERG-HP1,44,2023-08-29,NA
943,ERG-HR1,44,2023-08-29,NA
943,ERG-HR2,44,2023-08-29,NA
943,ERG-HS1,44,2023-08-29,NA
943,ERG-HS2,44,2023-08-29,NA
943,ERG-HS3,44,2023-08-29,NA
943,ERG-HS4,28,2021-10-25,2023-08-28
943,ERG-HS4,44,2023-08-29,NA
943,ERG-HS5,44,2023-08-29,NA
943,ERG-HS6,44,2023-08-29,NA
943,ERG-HS7,44,2023-08-29,NA
